ID	GSM442435	GSM442437	GSM442538	GSM442540	GSM442567	GSM442568	GSM463624	GSM463625	GSM510424	GSM510425	GSM510426	GSM510427	GSM510428	GSM510429	GSM510430	GSM510431	GSM510483	GSM510484	GSM510485	GSM510487	GSM510488	GSM510489	GSM510490	GSM510491	GSM510492	GSM510493	GSM510494	GSM510495	GSM510496	GSM510497.x	GSM510498	GSM510499	GSM510500	GSM510501	GSM510502	GSM510503	GSM510504	GSM510505	GSM510506	GSM510497.y	GSM730634	GSM730635	GSM730636	GSM730637.x	GSM730638	GSM730639	GSM730640	GSM730641	GSM730642	GSM561031	GSM720644	GSM730655	GSM730637.y	GSM730657	GSM730658	GSM730659	GSM835124	GSM835125	GSM835126	GSM730643	GSM1429347
DR_0022	0.150247337	-0.133332558	0.078954118	-0.035788832	-0.124499506	0.12233419	-0.063965572	-0.849147	-0.75177574	-0.7787404	-0.8436508	-0.7656956	-0.51506424	-1.1782265	-1.1215863	-0.42162228	-0.2806158	-0.17954588	-1.0685067	-1.0334535	-1.1624084	-0.14014101	-0.3413725	-0.14528847	-0.049445152	-0.040029526	-0.17473412	-0.09209728	-0.053289413	0.020828247	-0.220994	0.16969919	0.22340584	-0.30398226	1.057837	0.5694394	0.440866	-0.96994941	0.21453619	0.020828247	2.0482209	2.2662802	2.5659826	2.123693	2.0412877	2.1339273	2.2226346	2.229165	-0.14706117	NA	0.2198998	0.6084516	2.123693	-0.60210586	0.11593157	0.032115787	-0.914	-0.912	-0.821	-0.22131357	1.21
DR_0023	0.046592416	0.268499664	0.298497876	1.369480606	-0.243042898	0.328665086	NA	NA	-0.8675308	-0.86271477	-0.974823	-0.8723297	-1.0668898	-1.1208572	-1.0642166	-1.0952168	-0.76550865	-0.8365607	-0.89354324	-0.96038723	-1.0521088	-0.83024883	-0.90649796	0.17176914	0.21793747	0.48959446	0.33376122	0.17070007	0.18022633	0.42116547	0.21694946	0.14208984	0.13977718	-0.0624485	-0.06513786	0.07507515	0.16213036	-0.96993379	0.28725338	0.42116547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.314	-0.656	-0.723	NA	1.124
DR_0024	0.044566872	0.189532899	0.1234909	0.253592454	-0.034398294	-0.018950133	-0.326143354	-0.164874	-1.4956055	-1.4680557	-0.975235	-1.2075667	-1.3395443	-1.3244205	-1.2823315	-0.8938923	-1.1109252	-1.3635545	-0.9673915	-0.7981806	-0.9274502	-0.5561371	-0.5829277	-0.24098206	-0.13560772	-0.1744585	-0.05521679	0.01946354	0.10100746	0.02034092	0.10965443	-0.10530758	0.14162922	-0.2592926	-0.058271885	0.5434103	0.18507099	-0.96994942	-0.20433903	0.02034092	-0.063188285	-0.9842668	-1.0896981	-0.63899094	-0.7919906	-0.8405306	0.04959643	-0.02218575	0.06829268	NA	-0.16283275	-0.35461408	-0.63899094	0.06622219	-0.17936912	-0.17024228	-0.601	-0.585	-0.599	-0.06368142	1.494
DR_0025	0.15680461	0.031926978	0.124945117	0.483295726	-0.063319437	0.116831884	0.08260061	-0.841233	2.439333	2.5177603	2.871172	2.9940567	3.0673418	2.6940813	2.5480204	2.9654665	2.8943863	2.8339148	3.737475	3.3021178	3.4388347	4.2447143	4.2319946	0.1893444	0.31152916	0.36130667	0.41569567	0.15611362	0.16218948	0.23733711	0.022704124	0.1578703	0.24183464	0.33037996	0.11202335	0.41439056	0.3157997	-0.9699338	0.29116917	0.23733711	0.9904192	1.3504732	1.2744468	1.2281713	1.2917894	1.33976	1.0574276	0.94966966	1.2232052	NA	-0.40751433	0.13859048	1.2281713	-0.13391489	0.3867862	-0.20310268	-0.533	-0.464	-0.559	0.8278223	0.999
DR_0026	-0.05308706	0.428331231	-0.349944128	0.288411245	NA	NA	NA	NA	0.025631905	0.021809578	0.502357	0.34801674	0.30880737	0.17042637	0.34375954	0.5532589	-0.12996912	-0.07091093	0.38829136	0.3059168	0.36452484	0.67819595	0.67165375	-0.825119	-0.8606634	-1.0050421	-0.98934174	-0.76199627	-0.8795061	0.04221058	0.014389992	-0.053502083	-0.021377563	-0.013077259	-0.19089985	0.54773426	0.34032917	-0.96994943	0.57464886	0.04221058	1.5439274	1.1525512	1.0945309	0.97194403	0.93035436	1.1857249	1.0658661	1.0867114	1.0374739	NA	0.15706834	0.34259406	0.97194403	-0.08997762	-0.12693664	-0.091982454	-0.638	-0.557	-0.47	0.85030925	0.627
DR_0027	-0.061752822	-0.105617085	-0.084491215	-0.159489623	-0.246289619	-0.027880958	0.003849846	-0.987741	-0.46755695	-0.4168005	-0.30535984	-0.15311241	0.11868191	-0.43555546	-0.23309565	0.080145836	0.39445877	0.499012	0.9633732	0.4640646	0.47438335	1.405633	1.4141889	-0.801569	-0.7452717	-0.88147545	-0.73983574	-1.0470285	-0.91899586	-0.96491146	-0.67061806	-0.5497303	-0.60464764	-1.0530291	-0.9147005	-0.88318443	-0.86059093	-0.96993381	-0.781785	-0.96491146	-0.23390442	-0.5721195	-0.61285543	-0.5700314	-0.29139227	-0.48011357	-0.2618819	-0.42485946	-0.14033365	NA	-0.23747562	-0.006387547	-0.5700314	0.28376	0.21727741	-0.122490466	-0.333	-0.527	-0.091	0.2716087	1.24
DR_0028	-0.340842711	0.149318819	0.020828544	0.172204412	-0.049458778	-0.107099407	0.268220152	-0.202058	-0.8555331	-0.6931615	-0.5060582	-0.7562208	-0.746438	-0.40761757	-1.217474	-0.48159552	-0.34332418	-0.46414137	-1.0632439	-0.74338675	-0.6753535	-0.90253544	-0.92415714	-0.68755436	-0.6908636	-0.8589096	-0.7520008	-0.5197325	-0.59534264	-0.20636845	-0.47761726	-0.7659507	-0.61014795	-1.0911603	-1.2156854	-0.90912724	-1.0044537	-0.96994944	1.6644297	-0.20636845	0.38997978	-0.76571786	-0.614403	-0.668711	-1.1383064	-1.2777681	-0.36122596	0.120164216	2.2204366	-0.33405116	-0.11292852	-0.12628391	-0.668711	-0.17237878	-0.36873707	-0.53692603	-0.15	-0.941	-0.706	0.3406849	1.323
DR_0029	-0.519626046	-0.238118821	0.024833665	-0.018924171	-0.126177516	0.020034537	0.079322269	-0.771931	-0.44286442	-0.27569008	-0.65627337	-0.7027898	-0.76532745	-0.47801876	-0.61293364	-0.80694103	-0.08235121	-0.09872055	-1.3742075	-1.016263	-0.82816887	-1.2563429	-1.5360126	0.37098455	0.44344234	0.07390785	0.17853928	0.3208475	0.25826788	-0.032961845	0.2947855	0.71758604	0.81171656	0.66274214	0.3270564	0.6236143	0.5955906	-0.96993329	0.42823696	-0.032961845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.885	0.415	-2.911	NA	1.099
DR_0030	0.688486303	0.043221633	0.238975902	0.055976782	-0.342760996	-0.000411366	NA	NA	-0.11906719	-0.042479515	0.019151688	0.20129204	-0.37421036	-1.117156	-0.9589987	-0.55991745	-0.8849654	-0.92019224	-2.4089947	-0.7815113	-0.82660675	-2.0395622	-2.000224	3.6029892	3.514079	4.2664227	4.758209	3.696003	3.68427	4.811472	4.8238077	2.9716988	3.1980982	4.6260304	3.8647022	3.5113544	3.6751704	-0.96993382	4.496786	4.811472	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.020067027	NA	NA	NA	NA	NA	NA	-0.29	0.17	-0.253	NA	0.895
DR_0031	-1.066702617	0.354543027	NA	NA	NA	0.054658687	0.268285336	-0.269543	-0.8251314	-0.69776154	-1.2256894	-1.3285084	-1.412983	-1.0595717	-0.97426796	-1.4582214	-1.8028612	-1.7037148	-2.6152344	-1.2852831	-1.3930569	-2.3334346	-2.926321	0.44696808	0.547719	1.1740761	1.0732722	0.47552013	0.44614792	0.8835726	1.0579977	0.44913387	0.5275841	0.887702	0.9812689	0.41405106	0.6204834	-0.96993531	0.85216045	0.8835726	-0.4543265	-1.1266842	-1.1551702	-0.8420359	-0.65206987	-0.5358227	-0.2713073	-0.38814968	-0.15485477	NA	-0.6317357	-0.6309838	-0.8420359	-0.07819912	-0.4061469	-0.27156207	-0.319	0.466	-1.297	0.021799803	1.07
